"i","dc","Val"
"F122","d4",0
"F122","d5",0
"F122","d6",0
"F122","d7",1
"F122","d8",0
"F123","d1",0
"F123","d2",0
"F123","d3",0
"F123","d4",0
"F123","d5",0
"F123","d6",0
"F123","d7",1
"F123","d8",0
"F124","d1",0
"F124","d2",0
"F124","d3",0
"F124","d4",0
"F124","d5",0
"F124","d6",0
"F124","d7",1
"F124","d8",0
"F125","d1",0
"F125","d2",0
"F125","d3",0
"F125","d4",0
"F125","d5",0
"F125","d6",0
"F125","d7",1
"F125","d8",0
"F126","d1",0
"F126","d2",0
"F126","d3",0
"F126","d4",0
"F126","d5",0
"F126","d6",0
"F126","d7",1
"F126","d8",0
"F127","d1",0
"F127","d2",0
"F127","d3",0
"F127","d4",0
"F127","d5",0
"F127","d6",0
"F127","d7",1
"F127","d8",0
"F128","d1",0
"F128","d2",0
"F128","d3",0
"F128","d4",0
"F128","d5",0
"F128","d6",0
"F128","d7",1
"F128","d8",0
"F129","d1",0
"F129","d2",0
"F129","d3",0
"F129","d4",0
"F129","d5",0
"F129","d6",0
"F129","d7",1
"F129","d8",0
"F130","d1",0
"F130","d2",0
"F130","d3",0
"F130","d4",0
"F130","d5",0
"F130","d6",0
"F130","d7",1
"F130","d8",0
"F131","d1",0
"F131","d2",0
"F131","d3",0
"F131","d4",0
"F131","d5",0
"F131","d6",0
"F131","d7",1
"F131","d8",0
"F132","d1",0
"F132","d2",0
"F132","d3",0
"F132","d4",0
"F132","d5",0
"F132","d6",0
"F132","d7",1
"F132","d8",0
"F133","d1",0
"F133","d2",0
"F133","d3",0
"F133","d4",0
"F133","d5",0
"F133","d6",0
"F133","d7",1
"F133","d8",0
"F134","d1",0
"F134","d2",0
"F134","d3",0
"F134","d4",0
"F134","d5",0
"F134","d6",0
"F134","d7",1
"F134","d8",0
"F135","d1",0
"F135","d2",0
"F135","d3",0
"F135","d4",0
"F135","d5",0
"F135","d6",0
"F135","d7",1
"F135","d8",0
"F136","d1",0
"F136","d2",0
"F136","d3",0
"F136","d4",0
"F136","d5",0
"F136","d6",0
"F136","d7",1
"F136","d8",0
"F137","d1",0
"F137","d2",0
"F137","d3",0
"F137","d4",0
"F137","d5",0
"F137","d6",0
"F137","d7",1
"F137","d8",0
"F138","d1",0
"F138","d2",0
"F138","d3",0
"F138","d4",0
"F138","d5",0
"F138","d6",0
"F138","d7",1
"F138","d8",0
"F139","d1",0
"F139","d2",0
"F139","d3",0
"F139","d4",0
"F139","d5",0
"F139","d6",0
"F139","d7",1
"F139","d8",0
"F140","d1",0
"F140","d2",0
"F140","d3",0
"F140","d4",0
"F140","d5",0
"F140","d6",0
"F140","d7",1
"F140","d8",0
"F141","d1",0
"F141","d2",0
"F141","d3",0
"F141","d4",0
"F141","d5",0
"F141","d6",0
"F141","d7",1
"F141","d8",0
"F142","d1",0
"F142","d2",0
"F142","d3",0
"F142","d4",0
"F142","d5",0
"F142","d6",0
"F142","d7",1
"F142","d8",0
"F143","d1",0
"F143","d2",0
"F143","d3",0
"F143","d4",0
"F143","d5",0
"F143","d6",0
"F143","d7",1
"F143","d8",0
"F144","d1",0
"F144","d2",0
"F144","d3",0
"F144","d4",0
"F144","d5",0
"F144","d6",0
"F144","d7",1
"F144","d8",0
"F145","d1",0
"F145","d2",0
"F145","d3",0
"F145","d4",0
"F145","d5",0
"F145","d6",0
"F145","d7",1
"F145","d8",0
"F146","d1",0
"F146","d2",0
"F146","d3",0
"F146","d4",0
"F146","d5",0
"F146","d6",0
"F146","d7",1
"F146","d8",0
"F147","d1",0
"F147","d2",0
"F147","d3",0
"F147","d4",0
"F147","d5",0
"F147","d6",0
"F147","d7",1
"F147","d8",0
"F148","d1",0
"F148","d2",0
"F148","d3",0
"F148","d4",0
"F148","d5",0
"F148","d6",0
"F148","d7",1
"F148","d8",0
"F149","d1",0
"F149","d2",0
"F149","d3",0
"F149","d4",0
"F149","d5",0
"F149","d6",0
"F149","d7",1
"F149","d8",0
"F150","d1",0
"F150","d2",0
"F150","d3",0
"F150","d4",0
"F150","d5",0
"F150","d6",0
"F150","d7",1
"F150","d8",0
"F151","d1",0
"F151","d2",0
"F151","d3",0
"F151","d4",0
"F151","d5",0
"F151","d6",0
"F151","d7",1
"F151","d8",0
"F152","d1",0
"F152","d2",0
"F152","d3",0
"F152","d4",0
"F152","d5",0
"F152","d6",0
"F152","d7",1
"F152","d8",0
"F153","d1",0
"F153","d2",0
"F153","d3",0
"F153","d4",0
"F153","d5",0
"F153","d6",0
"F153","d7",1
"F153","d8",0
"F154","d1",0
"F154","d2",0
"F154","d3",0
"F154","d4",0
"F154","d5",0
"F154","d6",0
"F154","d7",1
"F154","d8",0
"F155","d1",0
"F155","d2",0
"F155","d3",0
"F155","d4",0
"F155","d5",0
"F155","d6",0
"F155","d7",1
"F155","d8",0
"F156","d1",0
"F156","d2",0
"F156","d3",0
"F156","d4",0
"F156","d5",0
"F156","d6",0
"F156","d7",1
"F156","d8",0
"F157","d1",0
"F157","d2",0
"F157","d3",0
"F157","d4",0
"F157","d5",0
"F157","d6",0
"F157","d7",1
"F157","d8",0
"F158","d1",0
"F158","d2",0
"F158","d3",0
"F158","d4",0
"F158","d5",0
"F158","d6",0
"F158","d7",1
"F158","d8",0
"F159","d1",0
"F159","d2",0
"F159","d3",0
"F159","d4",0
"F159","d5",0
"F159","d6",0
"F159","d7",1
"F159","d8",0
"F160","d1",0
"F160","d2",0
"F160","d3",0
"F160","d4",0
"F160","d5",0
"F160","d6",0
"F160","d7",1
"F160","d8",0
"F161","d1",0
"F161","d2",0
"F161","d3",0
"F161","d4",0
"F161","d5",0
"F161","d6",0
"F161","d7",1
"F161","d8",0
"F162","d1",0
"F162","d2",0
"F162","d3",0
"F162","d4",0
"F162","d5",0
"F162","d6",0
"F162","d7",1
"F162","d8",0
"F163","d1",0
"F163","d2",0
"F163","d3",0
"F163","d4",0
"F163","d5",0
"F163","d6",0
"F163","d7",1
"F163","d8",0
"F164","d1",0
"F164","d2",0
"F164","d3",0
"F164","d4",0
"F164","d5",0
"F164","d6",0
"F164","d7",1
"F164","d8",0
"F165","d1",0
"F165","d2",0
"F165","d3",0
"F165","d4",0
"F165","d5",0
"F165","d6",0
"F165","d7",1
"F165","d8",0
"F166","d1",0
"F166","d2",0
"F166","d3",0
"F166","d4",0
"F166","d5",0
"F166","d6",0
"F166","d7",1
"F166","d8",0
"F167","d1",0
"F167","d2",0
"F167","d3",0
"F167","d4",0
"F167","d5",0
"F167","d6",0
"F167","d7",1
"F167","d8",0
"F168","d1",0
"F168","d2",0
"F168","d3",0
"F168","d4",0
"F168","d5",0
"F168","d6",0
"F168","d7",1
"F168","d8",0
"F169","d1",0
"F169","d2",0
"F169","d3",0
"F169","d4",0
"F169","d5",0
"F169","d6",0
"F169","d7",1
"F169","d8",0
"F170","d1",0
"F170","d2",0
"F170","d3",0
"F170","d4",0
"F170","d5",0
"F170","d6",0
"F170","d7",1
"F170","d8",0
"F171","d1",0
"F171","d2",0
"F171","d3",0
"F171","d4",0
"F171","d5",0
"F171","d6",0
"F171","d7",1
"F171","d8",0
"F172","d1",0
"F172","d2",0
"F172","d3",0
"F172","d4",0
"F172","d5",0
"F172","d6",0
"F172","d7",1
"F172","d8",0
"F173","d1",0
"F173","d2",0
"F173","d3",0
"F173","d4",0
"F173","d5",0
"F173","d6",0
"F173","d7",1
"F173","d8",0
"F174","d1",0
"F174","d2",0
"F174","d3",0
"F174","d4",0
"F174","d5",0
"F174","d6",0
"F174","d7",1
"F174","d8",0
"F175","d1",0
"F175","d2",0
"F175","d3",0
"F175","d4",0
"F175","d5",0
"F175","d6",0
"F175","d7",1
"F175","d8",0
"F176","d1",0
"F176","d2",0
"F176","d3",0
"F176","d4",0
"F176","d5",0
"F176","d6",0
"F176","d7",1
"F176","d8",0
"F177","d1",0
"F177","d2",0
"F177","d3",0
"F177","d4",0
"F177","d5",0
"F177","d6",0
"F177","d7",1
"F177","d8",0
"F178","d1",0
"F178","d2",0
"F178","d3",0
"F178","d4",0
"F178","d5",0
"F178","d6",0
"F178","d7",1
"F178","d8",0
"F179","d1",0
"F179","d2",0
"F179","d3",0
"F179","d4",0
"F179","d5",0
"F179","d6",0
"F179","d7",1
"F179","d8",0
"F180","d1",0
"F180","d2",0
"F180","d3",0
"F180","d4",0
"F180","d5",0
"F180","d6",0
"F180","d7",1
"F180","d8",0
"F181","d1",0
"F181","d2",0
"F181","d3",0
"F181","d4",0
"F181","d5",0
"F181","d6",0
"F181","d7",1
"F181","d8",0
"F182","d1",0
"F182","d2",0
"F182","d3",0
"F182","d4",0
"F182","d5",0
"F182","d6",0
"F182","d7",1
"F182","d8",0
"F183","d1",0
"F183","d2",0
"F183","d3",0
"F183","d4",0
"F183","d5",0
"F183","d6",0
"F183","d7",1
"F183","d8",0
"F184","d1",0
"F184","d2",0
"F184","d3",0
"F184","d4",0
"F184","d5",0
"F184","d6",0
"F184","d7",1
"F184","d8",0
"F185","d1",0
"F185","d2",0
"F185","d3",0
"F185","d4",0
"F185","d5",0
"F185","d6",0
"F185","d7",1
"F185","d8",0
"F186","d1",0
"F186","d2",0
"F186","d3",0
"F186","d4",0
"F186","d5",0
"F186","d6",0
"F186","d7",1
"F186","d8",0
"F187","d1",0
"F187","d2",0
"F187","d3",0
"F187","d4",0
"F187","d5",0
"F187","d6",0
"F187","d7",1
"F187","d8",0
"F188","d1",0
"F188","d2",0
"F188","d3",0
"F188","d4",0
"F188","d5",0
"F188","d6",0
"F188","d7",1
"F188","d8",0
"F189","d1",0
"F189","d2",0
"F189","d3",0
"F189","d4",0
"F189","d5",0
"F189","d6",0
"F189","d7",1
"F189","d8",0
"F190","d1",0
"F190","d2",0
"F190","d3",0
"F190","d4",0
"F190","d5",0
"F190","d6",0
"F190","d7",1
"F190","d8",0
"F191","d1",0
"F191","d2",0
"F191","d3",0
"F191","d4",0
"F191","d5",0
"F191","d6",0
"F191","d7",1
"F191","d8",0
"F192","d1",0
"F192","d2",0
"F192","d3",0
"F192","d4",0
"F192","d5",0
"F192","d6",0
"F192","d7",1
"F192","d8",0
"F193","d1",0
"F193","d2",0
"F193","d3",0
"F193","d4",0
"F193","d5",1
"F193","d6",0
"F193","d7",0
"F193","d8",0
"F194","d1",0
"F194","d2",0
"F194","d3",0
"F194","d4",0
"F194","d5",1
"F194","d6",0
"F194","d7",0
"F194","d8",0
